loc_rowid,pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_bmassj,st_dist,gaia_dist,st_teff,st_mass,pl_facility,,,,rowupdate
1663,Kepler-1233,Kepler-1233 b,Transit,1,45.1263042,,,1281,1218.89,6198,1.16,Kepler,,,,10-05-2016
1664,Kepler-1234,Kepler-1234 b,Transit,1,11.94014029,,,866,940.86,4967,0.8,Kepler,,,,10-05-2016
1665,Kepler-1235,Kepler-1235 b,Transit,1,4.16055856,,,533,549.17,5541,0.93,Kepler,,,,10-05-2016
1666,Kepler-1236,Kepler-1236 b,Transit,1,31.0571618,,,1078,1027.51,5337,0.86,Kepler,,,,10-05-2016
1667,Kepler-1237,Kepler-1237 b,Transit,1,84.5733226,,,1121,1096.06,5472,0.94,Kepler,,,,10-05-2016
1668,Kepler-1238,Kepler-1238 b,Transit,1,4.14787559,,,1533,1709.39,6386,1.3,Kepler,,,,10-05-2016
1669,Kepler-1239,Kepler-1239 b,Transit,1,5.19104016,,,2511,2278.07,6564,1.4,Kepler,,,,10-05-2016
1670,Kepler-124,Kepler-124 b,Transit,3,3.410493,0.039,,425.19,425.19,4984,,Kepler,,,,14-05-2014
1671,Kepler-124,Kepler-124 c,Transit,3,13.821375,0.1,,425.19,425.19,4984,,Kepler,,,,14-05-2014
1672,Kepler-124,Kepler-124 d,Transit,3,30.950851,0.17,,425.19,425.19,4984,,Kepler,,,,14-05-2014
1673,Kepler-1240,Kepler-1240 b,Transit,1,4.8663815,,,614,884.06,5682,0.98,Kepler,,,,10-05-2016
1674,Kepler-1241,Kepler-1241 b,Transit,1,18.5525701,,,936,995.2,5261,0.84,Kepler,,,,10-05-2016
1675,Kepler-1242,Kepler-1242 b,Transit,1,13.62798432,,,682,701.27,4895,0.77,Kepler,,,,10-05-2016
1676,Kepler-1243,Kepler-1243 b,Transit,1,16.8320729,,,877,774.85,5667,0.96,Kepler,,,,10-05-2016
1677,Kepler-1244,Kepler-1244 b,Transit,1,3.70428172,,,764,1109.99,6680,1.46,Kepler,,,,10-05-2016
1678,Kepler-1245,Kepler-1245 b,Transit,2,4.35409304,,,861,824.83,5306,0.86,Kepler,,,,10-05-2016
1679,Kepler-1245,Kepler-1245 c,Transit,2,2.93658468,,,861,824.83,5306,0.86,Kepler,,,,10-05-2016
1680,Kepler-1246,Kepler-1246 b,Transit,1,11.32271513,,,435,441.93,4611,0.73,Kepler,,,,10-05-2016
1681,Kepler-1247,Kepler-1247 b,Transit,1,13.71220213,,,1094,1076.84,5303,0.86,Kepler,,,,10-05-2016
1682,Kepler-1248,Kepler-1248 b,Transit,1,7.46725407,,,540,,6149,1.21,Kepler,,,,10-05-2016
1683,Kepler-1249,Kepler-1249 b,Transit,1,24.3347127,,,1674,2009.96,6202,1.19,Kepler,,,,10-05-2016
1684,Kepler-125,Kepler-125 b,Transit,2,4.164389,0.041,,184.34,184.34,3810,,Kepler,,,,14-05-2014
1685,Kepler-125,Kepler-125 c,Transit,2,5.774464,0.051,,184.34,184.34,3810,,Kepler,,,,14-05-2014
1686,Kepler-1250,Kepler-1250 b,Transit,1,2.60754383,,,1371,2271.23,5717,0.99,Kepler,,,,10-05-2016
1687,Kepler-1251,Kepler-1251 b,Transit,1,45.0904643,,,863,925.92,5545,0.92,Kepler,,,,10-05-2016
1688,Kepler-1252,Kepler-1252 b,Transit,1,15.0540329,,,828,661.26,5949,1.06,Kepler,,,,10-05-2016
1689,Kepler-1253,Kepler-1253 b,Transit,1,68.8861915,,,390,522.23,5850,0.97,Kepler,,,,10-05-2016
1690,Kepler-1254,Kepler-1254 b,Transit,3,9.99113313,,,676,634.12,4985,0.78,Kepler,,,,10-05-2016
1691,Kepler-1254,Kepler-1254 c,Transit,3,3.60084276,,,676,634.12,4985,0.78,Kepler,,,,10-05-2016
1692,Kepler-1254,Kepler-1254 d,Transit,3,5.72717226,,,676,634.12,4985,0.78,Kepler,,,,10-05-2016
1693,Kepler-1255,Kepler-1255 b,Transit,1,36.2919336,,,1344,1692.06,6018,1.08,Kepler,,,,10-05-2016
1694,Kepler-1256,Kepler-1256 b,Transit,1,12.4127754,,,862,914.61,6129,1.17,Kepler,,,,10-05-2016
1695,Kepler-1257,Kepler-1257 b,Transit,1,2.66831376,,,1081,1140.5,5502,0.9,Kepler,,,,10-05-2016
1696,Kepler-1258,Kepler-1258 b,Transit,1,0.98494017,,,651,732.68,5839,0.99,Kepler,,,,10-05-2016
1697,Kepler-1259,Kepler-1259 b,Transit,1,0.66308526,,,704,824.33,5053,0.8,Kepler,,,,10-05-2016
1698,Kepler-126,Kepler-126 b,Transit,3,10.495711,0.099,,239.03,239.03,6239,,Kepler,,,,14-05-2014
1699,Kepler-126,Kepler-126 c,Transit,3,21.869741,0.162,,239.03,239.03,6239,,Kepler,,,,14-05-2014
1700,Kepler-126,Kepler-126 d,Transit,3,100.283134,0.448,,239.03,239.03,6239,,Kepler,,,,14-05-2014
1701,Kepler-1260,Kepler-1260 b,Transit,1,19.1187753,,,1041,1823.44,5961,1.06,Kepler,,,,10-05-2016
1702,Kepler-1261,Kepler-1261 b,Transit,1,48.4308991,,,795,760.42,5006,0.82,Kepler,,,,10-05-2016
1703,Kepler-1262,Kepler-1262 b,Transit,1,8.67900242,,,1153,1087.41,5771,0.99,Kepler,,,,10-05-2016
1704,Kepler-1263,Kepler-1263 b,Transit,1,4.55139967,,,695,677.75,5213,0.84,Kepler,,,,10-05-2016
1705,Kepler-1264,Kepler-1264 b,Transit,1,0.96852602,,,814,820.18,5791,0.99,Kepler,,,,10-05-2016
1706,Kepler-1265,Kepler-1265 b,Transit,1,6.49441289,,,581,593.47,4630,0.71,Kepler,,,,10-05-2016
1707,Kepler-1266,Kepler-1266 b,Transit,1,28.474748,,,901,869.96,5044,0.8,Kepler,,,,10-05-2016
1708,Kepler-1267,Kepler-1267 b,Transit,1,13.0313945,,,1628,1433.54,6096,1.15,Kepler,,,,10-05-2016
1709,Kepler-1268,Kepler-1268 b,Transit,1,40.9903986,,,1406,1945.12,5904,1.06,Kepler,,,,10-05-2016
1710,Kepler-1269,Kepler-1269 b,Transit,1,37.3331536,,,710,1132.99,5998,1.1,Kepler,,,,10-05-2016
1711,Kepler-127,Kepler-127 b,Transit,3,14.435889,0.125,,356.41,356.41,6106,,Kepler,,,,14-05-2014
1712,Kepler-127,Kepler-127 c,Transit,3,29.393195,0.2,,356.41,356.41,6106,,Kepler,,,,14-05-2014
1713,Kepler-127,Kepler-127 d,Transit,3,48.630408,0.28,,356.41,356.41,6106,,Kepler,,,,14-05-2014
1714,Kepler-1270,Kepler-1270 b,Transit,1,6.03356196,,,1204,1130.82,5047,1.28,Kepler,,,,10-05-2016
1715,Kepler-1271,Kepler-1271 b,Transit,1,3.0255955,,,885,852.09,6143,1.13,Kepler,,,,10-05-2016
1716,Kepler-1272,Kepler-1272 b,Transit,1,51.1309704,,,896,1249.52,5926,1.06,Kepler,,,,10-05-2016
1717,Kepler-1273,Kepler-1273 b,Transit,1,28.625653,,,1355,1149.99,5566,0.94,Kepler,,,,10-05-2016
1718,Kepler-1274,Kepler-1274 b,Transit,1,6.98152703,,,609,625.54,6179,1.45,Kepler,,,,10-05-2016
1719,Kepler-1275,Kepler-1275 b,Transit,1,3.65691115,,,1280,1193.25,6296,1.23,Kepler,,,,10-05-2016
1720,Kepler-1276,Kepler-1276 b,Transit,1,12.5720095,,,587,546.9,6188,1.14,Kepler,,,,10-05-2016
1721,Kepler-1277,Kepler-1277 b,Transit,1,40.8365012,,,606,566.24,5578,0.94,Kepler,,,,10-05-2016
1722,Kepler-1278,Kepler-1278 b,Transit,1,3.23941344,,,743,912.68,6074,1.11,Kepler,,,,10-05-2016
1723,Kepler-1279,Kepler-1279 b,Transit,1,23.4774101,,,1017,1561.57,6221,1.21,Kepler,,,,10-05-2016
1724,Kepler-128,Kepler-128 b,Transit,2,15.09,,0.00242,400.93,400.93,,1.09,Kepler,,,,15-09-2016
1725,Kepler-128,Kepler-128 c,Transit,2,22.804,,0.00283,400.93,400.93,,1.09,Kepler,,,,15-09-2016
1726,Kepler-1280,Kepler-1280 b,Transit,1,66.5579057,,,1006,1553.08,6227,1.2,Kepler,,,,10-05-2016
1727,Kepler-1281,Kepler-1281 b,Transit,1,3.11602791,,,1090,1221.53,5353,0.87,Kepler,,,,10-05-2016
1728,Kepler-1282,Kepler-1282 b,Transit,1,2.13194651,,,1126,1138.9,5504,0.92,Kepler,,,,10-05-2016
1729,Kepler-1283,Kepler-1283 b,Transit,1,12.9460978,,,1452,3178.81,6175,1.16,Kepler,,,,10-05-2016
1730,Kepler-1284,Kepler-1284 b,Transit,1,0.66407381,,,852,904.84,5123,0.84,Kepler,,,,10-05-2016
1731,Kepler-1285,Kepler-1285 b,Transit,1,14.7967458,,,364,427.46,6170,1.2,Kepler,,,,10-05-2016
1732,Kepler-1286,Kepler-1286 b,Transit,1,11.25402929,,,1150,1409.23,5753,1,Kepler,,,,10-05-2016
1733,Kepler-1287,Kepler-1287 b,Transit,1,11.47685909,,,1027,1032.76,5715,0.96,Kepler,,,,10-05-2016
1734,Kepler-1288,Kepler-1288 b,Transit,1,2.76122421,,,715,714.09,6132,1.2,Kepler,,,,10-05-2016
1735,Kepler-1289,Kepler-1289 b,Transit,1,7.99019627,,,1059,1086.11,6080,1.1,Kepler,,,,10-05-2016
1736,Kepler-129,Kepler-129 b,Transit,2,15.79186,0.131,,413.68,413.68,5770,,Kepler,,,,14-05-2014
1737,Kepler-129,Kepler-129 c,Transit,2,82.20017,0.393,,413.68,413.68,5770,,Kepler,,,,14-05-2014
1738,Kepler-1290,Kepler-1290 b,Transit,1,4.69500134,,,1321,1668.97,5660,0.95,Kepler,,,,10-05-2016
1739,Kepler-1291,Kepler-1291 b,Transit,1,8.63043276,,,982,920.42,5216,0.84,Kepler,,,,10-05-2016
1740,Kepler-1292,Kepler-1292 b,Transit,1,3.27646405,,,1406,1559.48,5556,0.95,Kepler,,,,10-05-2016
1741,Kepler-1293,Kepler-1293 b,Transit,1,5.57654784,,,770,1059.58,6241,1.18,Kepler,,,,10-05-2016
1742,Kepler-1294,Kepler-1294 b,Transit,1,115.6862258,,,1120,1960.6,5776,0.99,Kepler,,,,10-05-2016
1743,Kepler-1295,Kepler-1295 b,Transit,1,3.81371974,,,1257,1213.77,5486,0.92,Kepler,,,,10-05-2016
1744,Kepler-1296,Kepler-1296 b,Transit,1,8.3839865,,,631,1622.84,5359,0.87,Kepler,,,,10-05-2016
1745,Kepler-1297,Kepler-1297 b,Transit,1,1.68189002,,,996,1501.72,5818,0.99,Kepler,,,,10-05-2016
1746,Kepler-1298,Kepler-1298 b,Transit,1,7.12811928,,,498,552.77,6339,1.45,Kepler,,,,10-05-2016
1747,Kepler-1299,Kepler-1299 b,Transit,1,19.9400874,,,1352,1462.37,5609,0.94,Kepler,,,,10-05-2016
1748,Kepler-130,Kepler-130 b,Transit,3,8.457458,0.079,,319.57,319.57,5884,,Kepler,,,,14-05-2014
1749,Kepler-130,Kepler-130 c,Transit,3,27.50868,0.178,,319.57,319.57,5884,,Kepler,,,,14-05-2014
1750,Kepler-130,Kepler-130 d,Transit,3,87.517905,0.377,,319.57,319.57,5884,,Kepler,,,,14-05-2014
1751,Kepler-1300,Kepler-1300 b,Transit,1,22.2419092,,,757,794.61,6130,1.29,Kepler,,,,10-05-2016
1752,Kepler-1301,Kepler-1301 b,Transit,1,9.08237046,,,816,875.5,5188,0.85,Kepler,,,,10-05-2016
1753,Kepler-1302,Kepler-1302 b,Transit,1,8.83922659,,,727,646.34,5236,0.86,Kepler,,,,10-05-2016
1754,Kepler-1303,Kepler-1303 b,Transit,1,7.56127224,,,905,921.27,5771,1.01,Kepler,,,,10-05-2016
1755,Kepler-1304,Kepler-1304 b,Transit,1,16.1288853,,,682,2326.36,5259,0.85,Kepler,,,,10-05-2016
1756,Kepler-1305,Kepler-1305 b,Transit,1,13.5630972,,,1343,1646.08,5701,0.97,Kepler,,,,10-05-2016
1757,Kepler-1306,Kepler-1306 b,Transit,1,16.29595382,,,1130,1143.4,5727,0.98,Kepler,,,,10-05-2016
1758,Kepler-1307,Kepler-1307 b,Transit,1,18.01621096,,,1396,1044.5,5884,1.06,Kepler,,,,10-05-2016
1759,Kepler-1308,Kepler-1308 b,Transit,1,2.10433812,,,73,113.07,3468,0.35,Kepler,,,,10-05-2016
1760,Kepler-1309,Kepler-1309 b,Transit,1,28.8432647,,,845,961.4,5235,0.85,Kepler,,,,10-05-2016
1761,Kepler-131,Kepler-131 b,Transit,2,16.092,,0.051,230.19,230.19,5685,1.02,Kepler,,,,14-05-2014
1762,Kepler-131,Kepler-131 c,Transit,2,25.5169,,0.026,230.19,230.19,5685,1.02,Kepler,,,,14-05-2014
1763,Kepler-1310,Kepler-1310 b,Transit,1,0.67933627,,,583,578.63,5549,0.91,Kepler,,,,10-05-2016
1764,Kepler-1311,Kepler-1311 b,Transit,2,11.1726994,,,705,888.44,5748,1.05,Kepler,,,,10-05-2016
1765,Kepler-1311,Kepler-1311 c,Transit,2,2.53573424,,,705,888.44,5748,1.05,Kepler,,,,10-05-2016
1766,Kepler-1312,Kepler-1312 b,Transit,1,5.44832529,,,305,301.69,5719,0.99,Kepler,,,,10-05-2016
1767,Kepler-1313,Kepler-1313 b,Transit,1,3.83309118,,,187,175.11,5453,0.92,Kepler,,,,10-05-2016
1768,Kepler-1314,Kepler-1314 b,Transit,1,5.42474928,,,462,141.99,4188,0.6,Kepler,,,,10-05-2016
1769,Kepler-1315,Kepler-1315 b,Transit,1,0.84338011,,,505,487.56,4861,0.8,Kepler,,,,10-05-2016
1770,Kepler-1316,Kepler-1316 b,Transit,1,87.9732136,,,753,819.71,5884,1.04,Kepler,,,,10-05-2016
1771,Kepler-1317,Kepler-1317 b,Transit,1,0.56887443,,,734,743.73,5144,0.83,Kepler,,,,10-05-2016
1772,Kepler-1318,Kepler-1318 b,Transit,1,213.257663,,,475,481.78,4598,0.73,Kepler,,,,10-05-2016
1773,Kepler-1319,Kepler-1319 b,Transit,1,2.88676265,,,114,104.23,3655,0.56,Kepler,,,,10-05-2016
1774,Kepler-132,Kepler-132 b,Transit,4,6.178196,0.067,,303,,6003,,Kepler,,,,14-05-2014
1775,Kepler-132,Kepler-132 c,Transit,4,6.414914,0.068,,303,,6003,,Kepler,,,,14-05-2014
1776,Kepler-132,Kepler-132 d,Transit,4,18.010199,0.136,,303,,6003,,Kepler,,,,14-05-2014
1777,Kepler-132,Kepler-132 e,Transit,4,110.2869374,,,303,,6003,,Kepler,,,,10-05-2016
1778,Kepler-1320,Kepler-1320 b,Transit,1,0.86838653,,,771,659.35,4817,0.8,Kepler,,,,10-05-2016
1779,Kepler-1321,Kepler-1321 b,Transit,2,11.12830484,,,547,784.14,4094,0.54,Kepler,,,,10-05-2016
1780,Kepler-1321,Kepler-1321 c,Transit,2,2.22649109,,,547,784.14,4094,0.54,Kepler,,,,10-05-2016
1781,Kepler-1322,Kepler-1322 b,Transit,1,0.96286738,,,1217,1402.71,5488,0.9,Kepler,,,,10-05-2016
1782,Kepler-1323,Kepler-1323 b,Transit,1,0.92990668,,,530,471.71,6169,1.18,Kepler,,,,10-05-2016
1783,Kepler-1324,Kepler-1324 b,Transit,1,4.11584468,,,522,488.36,4776,0.78,Kepler,,,,10-05-2016
1784,Kepler-1325,Kepler-1325 b,Transit,1,33.8786838,,,955,1001.21,5550,0.93,Kepler,,,,10-05-2016
1785,Kepler-1326,Kepler-1326 b,Transit,1,42.3514267,,,910,712.11,6725,1.45,Kepler,,,,10-05-2016
1786,Kepler-1327,Kepler-1327 b,Transit,1,14.88801098,,,688,691.61,5885,1.02,Kepler,,,,10-05-2016
1787,Kepler-1328,Kepler-1328 b,Transit,1,4.52158888,,,630,833.04,5780,1,Kepler,,,,10-05-2016
1788,Kepler-1329,Kepler-1329 b,Transit,1,9.33646594,,,624,597.93,4500,0.72,Kepler,,,,10-05-2016
1789,Kepler-133,Kepler-133 b,Transit,2,8.129976,0.083,,665.37,665.37,5736,,Kepler,,,,14-05-2014
1790,Kepler-133,Kepler-133 c,Transit,2,31.517586,0.204,,665.37,665.37,5736,,Kepler,,,,14-05-2014
1791,Kepler-1330,Kepler-1330 b,Transit,1,10.10769068,,,939,1809.47,5608,0.97,Kepler,,,,10-05-2016
1792,Kepler-1331,Kepler-1331 b,Transit,1,0.78916165,,,365,322.14,4508,0.72,Kepler,,,,10-05-2016
1793,Kepler-1332,Kepler-1332 b,Transit,1,11.87456832,,,515,536.87,5581,0.95,Kepler,,,,10-05-2016
1794,Kepler-1333,Kepler-1333 b,Transit,1,109.6471842,,,958,956.93,5628,0.94,Kepler,,,,10-05-2016
1795,Kepler-1334,Kepler-1334 b,Transit,1,15.64591713,,,1047,1267.56,5614,0.94,Kepler,,,,10-05-2016
1796,Kepler-1335,Kepler-1335 b,Transit,1,6.26406846,,,628,633.09,4903,0.77,Kepler,,,,10-05-2016
1797,Kepler-1336,Kepler-1336 b,Transit,2,23.198681,,,822,1164.14,5512,0.94,Kepler,,,,10-05-2016
1798,Kepler-1336,Kepler-1336 c,Transit,2,5.77721211,,,822,1164.14,5512,0.94,Kepler,,,,10-05-2016
1799,Kepler-1337,Kepler-1337 b,Transit,1,24.4002549,,,588,612.02,4523,0.7,Kepler,,,,10-05-2016
1800,Kepler-1338,Kepler-1338 b,Transit,1,0.93511806,,,619,769.9,5909,1.04,Kepler,,,,10-05-2016
1801,Kepler-1339,Kepler-1339 b,Transit,1,1.34155513,,,267,374.82,5586,0.94,Kepler,,,,10-05-2016
1802,Kepler-134,Kepler-134 b,Transit,2,5.317429,0.06,,338.05,338.05,5983,,Kepler,,,,14-05-2014
1803,Kepler-134,Kepler-134 c,Transit,2,10.105785,0.092,,338.05,338.05,5983,,Kepler,,,,14-05-2014
1804,Kepler-1340,Kepler-1340 b,Transit,1,0.66502692,,,1421,1009.68,6331,1.27,Kepler,,,,10-05-2016
1805,Kepler-1341,Kepler-1341 b,Transit,1,132.9968322,,,466,483.57,4662,0.79,Kepler,,,,10-05-2016
1806,Kepler-1342,Kepler-1342 b,Transit,1,2.21571036,,,941,913.1,5527,0.93,Kepler,,,,10-05-2016
1807,Kepler-1343,Kepler-1343 b,Transit,1,3.35183158,,,1307,1850.48,5759,0.95,Kepler,,,,10-05-2016
1808,Kepler-1344,Kepler-1344 b,Transit,1,4.7683049,,,851,875.44,5981,1.09,Kepler,,,,10-05-2016
1809,Kepler-1345,Kepler-1345 b,Transit,1,44.6169557,,,1164,1410.15,6449,1.32,Kepler,,,,10-05-2016
1810,Kepler-1346,Kepler-1346 b,Transit,1,3.40165668,,,1123,864.61,6133,1.14,Kepler,,,,10-05-2016
1811,Kepler-1347,Kepler-1347 b,Transit,1,14.00947528,,,321,,5193,0.82,Kepler,,,,10-05-2016
1812,Kepler-1348,Kepler-1348 b,Transit,1,27.5722742,,,1033,1257.73,5911,1.04,Kepler,,,,10-05-2016
1813,Kepler-1349,Kepler-1349 b,Transit,1,2.12823928,,,260,278.53,6086,1.16,Kepler,,,,10-05-2016
1814,Kepler-135,Kepler-135 b,Transit,2,6.00253,0.067,,632.99,632.99,6090,,Kepler,,,,14-05-2014
1815,Kepler-135,Kepler-135 c,Transit,2,11.448708,0.103,,632.99,632.99,6090,,Kepler,,,,14-05-2014
1816,Kepler-1350,Kepler-1350 b,Transit,2,4.4968604,,,350,343.93,3827,0.55,Kepler,,,,10-05-2016
1817,Kepler-1350,Kepler-1350 c,Transit,2,1.76678906,,,350,343.93,3827,0.55,Kepler,,,,10-05-2016
1818,Kepler-1351,Kepler-1351 b,Transit,1,0.91614077,,,241,203.98,4439,0.7,Kepler,,,,10-05-2016
1819,Kepler-1352,Kepler-1352 b,Transit,1,1.87788275,,,637,684.08,6118,1.11,Kepler,,,,10-05-2016
1820,Kepler-1353,Kepler-1353 b,Transit,1,24.7543966,,,596,603.46,4776,0.76,Kepler,,,,10-05-2016
1821,Kepler-1354,Kepler-1354 b,Transit,1,76.613377,,,1057,1156.43,6168,1.16,Kepler,,,,10-05-2016
1822,Kepler-1355,Kepler-1355 b,Transit,1,1.28958811,,,963,935.39,5352,0.88,Kepler,,,,10-05-2016
1823,Kepler-1356,Kepler-1356 b,Transit,1,0.63400294,,,881,865.71,5106,0.82,Kepler,,,,10-05-2016
1824,Kepler-1357,Kepler-1357 b,Transit,1,3.0091324,,,1026,1045.99,5597,0.93,Kepler,,,,10-05-2016
1825,Kepler-1358,Kepler-1358 b,Transit,1,7.06317341,,,558,555.72,5181,0.82,Kepler,,,,10-05-2016
1826,Kepler-1359,Kepler-1359 b,Transit,1,59.4970952,,,669,625.57,4709,0.78,Kepler,,,,10-05-2016
1827,Kepler-136,Kepler-136 b,Transit,2,11.5789,0.106,,425.94,425.94,6165,,Kepler,,,,14-05-2014
1828,Kepler-136,Kepler-136 c,Transit,2,16.399235,0.133,,425.94,425.94,6165,,Kepler,,,,14-05-2014
1829,Kepler-1360,Kepler-1360 b,Transit,1,40.5286413,,,1405,1584.96,6778,1.51,Kepler,,,,10-05-2016
1830,Kepler-1361,Kepler-1361 b,Transit,1,3.57554956,,,404,393.57,5131,0.83,Kepler,,,,10-05-2016
1831,Kepler-1362,Kepler-1362 b,Transit,1,136.205626,,,767,746.63,4857,0.8,Kepler,,,,10-05-2016
1832,Kepler-1363,Kepler-1363 b,Transit,1,2.94194094,,,559,550.24,4839,0.76,Kepler,,,,10-05-2016
1833,Kepler-1364,Kepler-1364 b,Transit,1,13.32196237,,,1149,,6805,1.49,Kepler,,,,10-05-2016
1834,Kepler-1365,Kepler-1365 b,Transit,2,7.69993485,,,541,860.89,5770,1,Kepler,,,,10-05-2016
1835,Kepler-1365,Kepler-1365 c,Transit,2,4.77468005,,,541,860.89,5770,1,Kepler,,,,10-05-2016
1836,Kepler-1366,Kepler-1366 b,Transit,1,2.16457097,,,395,471.93,4070,0.62,Kepler,,,,10-05-2016
1837,Kepler-1367,Kepler-1367 b,Transit,1,1.57409027,,,357,406.12,4106,0.62,Kepler,,,,10-05-2016
1838,Kepler-1368,Kepler-1368 b,Transit,1,0.67564949,,,1750,1706.42,5906,1.07,Kepler,,,,10-05-2016
1839,Kepler-1369,Kepler-1369 b,Transit,1,25.873148,,,1236,1281.72,5761,0.99,Kepler,,,,10-05-2016
1840,Kepler-137,Kepler-137 b,Transit,2,8.436387,0.077,,305.65,305.65,5187,,Kepler,,,,14-05-2014
1841,Kepler-137,Kepler-137 c,Transit,2,18.735753,0.13,,305.65,305.65,5187,,Kepler,,,,14-05-2014
1842,Kepler-1370,Kepler-1370 b,Transit,2,20.2641684,,,878,1033.99,6202,1.19,Kepler,,,,10-05-2016
1843,Kepler-1370,Kepler-1370 c,Transit,2,7.44142113,,,878,1033.99,6202,1.19,Kepler,,,,10-05-2016
1844,Kepler-1371,Kepler-1371 b,Transit,2,3.4462039,,,450,523.07,5361,0.87,Kepler,,,,10-05-2016
1845,Kepler-1371,Kepler-1371 c,Transit,2,2.00541269,,,450,523.07,5361,0.87,Kepler,,,,10-05-2016
1846,Kepler-1372,Kepler-1372 b,Transit,1,1.31155557,,,1161,1353.28,5677,0.98,Kepler,,,,10-05-2016
1847,Kepler-1373,Kepler-1373 b,Transit,1,1.29123275,,,1112,1787.11,6299,1.22,Kepler,,,,10-05-2016
1848,Kepler-1374,Kepler-1374 b,Transit,1,10.65276707,,,1135,1111.89,5323,0.85,Kepler,,,,10-05-2016
1849,Kepler-1375,Kepler-1375 b,Transit,1,3.3004192,,,1238,1491.88,6704,1.47,Kepler,,,,10-05-2016
1850,Kepler-1376,Kepler-1376 b,Transit,1,5.30880656,,,864,890.22,5659,0.98,Kepler,,,,10-05-2016
1851,Kepler-1377,Kepler-1377 b,Transit,1,0.74092842,,,1019,1183.89,5218,0.86,Kepler,,,,10-05-2016
1852,Kepler-1378,Kepler-1378 b,Transit,1,11.95398936,,,562,513.44,4407,0.7,Kepler,,,,10-05-2016
1853,Kepler-1379,Kepler-1379 b,Transit,1,0.88184115,,,951,996.7,5188,0.83,Kepler,,,,10-05-2016
1854,Kepler-138,Kepler-138 b,Transit,3,10.3126,,0.00021,66.99,66.99,3841,0.52,Kepler,,,,17-06-2015
1855,Kepler-138,Kepler-138 c,Transit,3,13.7813,,0.0062,66.99,66.99,3841,0.52,Kepler,,,,17-06-2015
1856,Kepler-138,Kepler-138 d,Transit,3,23.0881,,0.00201,66.99,66.99,3841,0.52,Kepler,,,,17-06-2015
1857,Kepler-1380,Kepler-1380 b,Transit,1,10.3108245,,,1209,2664.1,5570,0.96,Kepler,,,,10-05-2016
1858,Kepler-1381,Kepler-1381 b,Transit,1,25.3842686,,,1306,1239.4,5747,0.96,Kepler,,,,10-05-2016
1859,Kepler-1382,Kepler-1382 b,Transit,1,16.3583055,,,730,752.43,6161,1.36,Kepler,,,,10-05-2016
1860,Kepler-1383,Kepler-1383 b,Transit,1,13.9093583,,,961,1057.93,6370,1.26,Kepler,,,,10-05-2016
1861,Kepler-1384,Kepler-1384 b,Transit,1,15.36262753,,,618,,4919,0.78,Kepler,,,,10-05-2016
1862,Kepler-1385,Kepler-1385 b,Transit,1,2.88879862,,,527,702.41,5732,1.15,Kepler,,,,10-05-2016
1863,Kepler-1386,Kepler-1386 b,Transit,1,6.73972381,,,838,856.45,5733,1.02,Kepler,,,,10-05-2016
1864,Kepler-1387,Kepler-1387 b,Transit,1,2.27952666,,,491,461.39,5046,0.82,Kepler,,,,10-05-2016
1865,Kepler-1388,Kepler-1388 b,Transit,4,12.2854603,,,492,459.67,4098,0.63,Kepler,,,,10-05-2016
1866,Kepler-1388,Kepler-1388 c,Transit,4,5.53608151,,,492,459.67,4098,0.63,Kepler,,,,10-05-2016
1867,Kepler-1388,Kepler-1388 d,Transit,4,20.9568158,,,492,459.67,4098,0.63,Kepler,,,,10-05-2016
1868,Kepler-1388,Kepler-1388 e,Transit,4,37.6327084,,,492,459.67,4098,0.63,Kepler,,,,10-05-2016
1869,Kepler-1389,Kepler-1389 b,Transit,1,99.2530951,,,521,504.3,5078,0.81,Kepler,,,,10-05-2016
1870,Kepler-139,Kepler-139 b,Transit,2,15.771044,0.127,,395.45,395.45,5594,,Kepler,,,,14-05-2014
1871,Kepler-139,Kepler-139 c,Transit,2,157.072878,0.586,,395.45,395.45,5594,,Kepler,,,,14-05-2014
1872,Kepler-1390,Kepler-1390 b,Transit,1,6.48021673,,,760,738.7,5753,0.98,Kepler,,,,10-05-2016
1873,Kepler-1391,Kepler-1391 b,Transit,1,54.4092333,,,721,1070.25,5840,1.03,Kepler,,,,10-05-2016
1874,Kepler-1392,Kepler-1392 b,Transit,1,15.1410397,,,1117,4872.74,5479,0.88,Kepler,,,,10-05-2016
1875,Kepler-1393,Kepler-1393 b,Transit,1,2.44357812,,,462,637.7,5697,0.95,Kepler,,,,10-05-2016
1876,Kepler-1394,Kepler-1394 b,Transit,1,3.93766373,,,820,652.4,6481,1.64,Kepler,,,,10-05-2016
1877,Kepler-1395,Kepler-1395 b,Transit,1,3.78470649,,,507,499.89,6138,1.17,Kepler,,,,10-05-2016
1878,Kepler-1396,Kepler-1396 b,Transit,1,18.2206421,,,1236,1100,6195,1.18,Kepler,,,,10-05-2016
1879,Kepler-1397,Kepler-1397 b,Transit,1,47.449955,,,770,1240.73,6026,1.09,Kepler,,,,10-05-2016
1880,Kepler-1398,Kepler-1398 b,Transit,2,2.78815679,,,793,873.64,6126,1.13,Kepler,,,,10-05-2016
1881,Kepler-1398,Kepler-1398 c,Transit,2,4.13827595,,,793,873.64,6126,1.13,Kepler,,,,10-05-2016
